year,country_residence_iso3,n_billionaires,total_wealth,median_wealth,median_age,share_self_made
2010,TUR,28,42800000000,1300000000,58,0
2010,TWN,13,26300000000,1700000000,57,0
2010,UKR,5,13200000000,2000000000,47,0.2
2010,USA,388,1299500000000,1800000000,66.5,0.007731958762886598
2010,VEN,2,7700000000,3850000000,54,0
2010,ZAF,3,9600000000,2300000000,59,0
2010,NA,39,145000000000,3200000000,75,0.05128205128205128
2011,ARE,4,7200000000,1500000000,0,0
2011,ARG,2,6500000000,3250000000,38,0
2011,AUS,15,50700000000,2400000000,70,0.7333333333333333
2011,AUT,4,15400000000,3850000000,68,0.75
2011,BEL,1,3100000000,3100000000,85,1
2011,BRA,26,121800000000,2600000000,63.5,0.46153846153846156
2011,CAN,21,77900000000,2500000000,69,0.7619047619047619
2011,CHE,20,84000000000,2900000000,63.5,0.4
2011,CHL,3,32000000000,10400000000,0,0.3333333333333333
2011,CHN,116,236100000000,1400000000,50,0.9568965517241379
2011,COL,1,10500000000,10500000000,78,1
2011,CYM,1,2400000000,2400000000,64,1
2011,CYP,1,1000000000,1000000000,59,1
2011,CZE,1,9200000000,9200000000,46,1
2011,DEU,40,183600000000,2900000000,65.5,0.325
2011,DNK,2,6500000000,3250000000,63,0
2011,EGY,7,19000000000,2000000000,56,0.5714285714285714
2011,ESP,11,53000000000,1900000000,65,0.6363636363636364
2011,FRA,12,110100000000,4000000000,71.5,0.3333333333333333
2011,GBR,43,175500000000,2000000000,59,0.7674418604651163
2011,GEO,1,5500000000,5500000000,55,1
2011,HKG,31,150800000000,2500000000,61,0.7419354838709677
2011,IDN,5,17500000000,3600000000,62,0.4
2011,IND,45,203600000000,2100000000,60.5,0.4666666666666667
2011,IRL,3,8200000000,2400000000,60,0.6666666666666666
2011,ISR,8,21600000000,2100000000,64,0.875
2011,ITA,11,42000000000,2400000000,70,0.9090909090909091
2011,JPN,24,68400000000,2150000000,65.5,0.75
2011,KAZ,7,19400000000,3700000000,50,0.8571428571428571
2011,KOR,14,36700000000,2000000000,58,0.07142857142857142
2011,KWT,1,1400000000,1400000000,64,0
2011,LBN,3,7600000000,2800000000,55,0.6666666666666666
2011,MCO,2,19400000000,9700000000,76.5,0
